BIAF01,BIAF02,BIAF03,BIAF04,BIAF05,BIAF06,BIAF07,BIAF08,BIAF09,BIAF10_01,BIAF10_02,BIAF10_03,BIAF10_04,NIVEL_ACTIVIDAD_FISICA
8,,8,,5,300.0,240,,6.0,2.0,2.0,1.0,1.0,2.0
8,,8,,4,90.0,9999,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,7,90.0,210,,1.0,2.0,2.0,1.0,1.0,3.0
8,,8,,8,,360,5.0,,,,,,3.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,5,100.0,480,,6.0,1.0,2.0,2.0,2.0,3.0
8,,8,,8,,1200,1.0,,,,,,3.0
3,180.0,8,,4,240.0,300,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,360,9.0,,,,,,3.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,8,,8,,270,9.0,,,,,,3.0
8,,6,720.0,7,840.0,120,,6.0,1.0,2.0,1.0,2.0,1.0
8,,5,300.0,5,300.0,240,,9.0,1.0,2.0,1.0,2.0,2.0
8,,8,,8,,9999,5.0,,,,,,3.0
8,,8,,5,300.0,120,,2.0,1.0,1.0,1.0,2.0,2.0
8,,6,1440.0,8,,180,,2.0,2.0,1.0,2.0,2.0,2.0
8,,2,180.0,5,150.0,600,,2.0,2.0,1.0,2.0,1.0,2.0
8,,8,,8,,600,5.0,,,,,,3.0
8,,8,,2,80.0,60,,2.0,2.0,2.0,1.0,1.0,3.0
8,,8,,8,,180,9.0,,,,,,3.0
8,,8,,8,,480,9.0,,,,,,3.0
2,120.0,8,,8,,660,,1.0,2.0,2.0,2.0,1.0,3.0
8,,8,,2,120.0,480,,2.0,2.0,2.0,2.0,1.0,3.0
4,240.0,8,,8,,480,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,4,40.0,60,,6.0,2.0,2.0,1.0,1.0,3.0
8,,8,,5,120.0,180,,6.0,1.0,2.0,2.0,2.0,3.0
2,120.0,3,240.0,5,360.0,9999,,9.0,2.0,2.0,2.0,1.0,1.0
8,,8,,2,120.0,540,,2.0,2.0,2.0,2.0,1.0,3.0
3,270.0,1,120.0,7,840.0,360,,2.0,2.0,1.0,1.0,1.0,1.0
8,,8,,7,140.0,210,,2.0,1.0,1.0,1.0,2.0,3.0
8,,3,180.0,8,,240,,1.0,2.0,2.0,2.0,1.0,3.0
8,,2,180.0,8,,180,,2.0,2.0,1.0,1.0,2.0,3.0
8,,2,60.0,1,10.0,120,,10.0,1.0,2.0,1.0,1.0,3.0
2,240.0,8,,5,445.0,240,,2.0,1.0,2.0,1.0,1.0,1.0
8,,8,,8,,360,1.0,,,,,,3.0
3,60.0,2,60.0,8,,360,,1.0,2.0,2.0,1.0,1.0,2.0
8,,8,,5,600.0,240,,9.0,2.0,2.0,1.0,2.0,2.0
8,,8,,8,,180,9.0,,,,,,3.0
8,,7,540.0,8,,300,,1.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,180,5.0,,,,,,3.0
8,,8,,7,183.0,150,,6.0,1.0,2.0,1.0,2.0,2.0
8,,3,360.0,7,420.0,120,,2.0,2.0,1.0,2.0,2.0,2.0
8,,8,,3,240.0,480,,5.0,1.0,2.0,1.0,2.0,3.0
8,,8,,5,300.0,180,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,7,210.0,180,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,7,420.0,180,,2.0,1.0,1.0,1.0,2.0,2.0
3,180.0,8,,4,240.0,150,,1.0,1.0,2.0,1.0,2.0,2.0
2,120.0,8,,7,240.0,45,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,300.0,360,,2.0,2.0,2.0,1.0,2.0,2.0
7,70.0,4,60.0,7,70.0,240,,1.0,1.0,1.0,1.0,1.0,2.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,8,,180,9.0,,,,,,3.0
8,,8,,4,240.0,180,,6.0,2.0,2.0,1.0,2.0,3.0
8,,6,240.0,7,360.0,120,,2.0,1.0,1.0,1.0,1.0,2.0
8,,1,840.0,1,60.0,300,,2.0,1.0,2.0,1.0,2.0,3.0
8,,5,1500.0,5,130.0,60,,2.0,2.0,1.0,1.0,2.0,1.0
4,1200.0,5,390.0,7,210.0,300,,1.0,1.0,2.0,1.0,1.0,1.0
8,,8,,8,,180,5.0,,,,,,3.0
8,,3,900.0,7,420.0,240,,2.0,1.0,1.0,1.0,2.0,1.0
8,,2,120.0,8,,120,,1.0,2.0,2.0,2.0,1.0,3.0
8,,8,,5,50.0,60,,2.0,2.0,2.0,1.0,2.0,3.0
8,,8,,8,,480,9.0,,,,,,3.0
8,,8,,8,,180,8.0,,,,,,3.0
8,,8,,8,,180,8.0,,,,,,3.0
8,,2,180.0,5,120.0,420,,10.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,300,1.0,,,,,,3.0
8,,5,300.0,3,180.0,540,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,2,60.0,180,,6.0,1.0,2.0,1.0,2.0,3.0
3,180.0,8,,7,420.0,60,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,8,,480,9.0,,,,,,3.0
3,270.0,8,,3,180.0,180,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,5,150.0,120,,9.0,2.0,2.0,2.0,1.0,2.0
8,,8,,5,150.0,450,,10.0,2.0,1.0,1.0,2.0,2.0
3,180.0,8,,7,210.0,180,,2.0,1.0,2.0,1.0,1.0,2.0
8,,3,240.0,3,180.0,120,,1.0,2.0,2.0,2.0,2.0,2.0
8,,8,,8,,720,5.0,,,,,,3.0
8,,8,,8,,9999,9.0,,,,,,3.0
8,,8,,8,,9999,5.0,,,,,,3.0
8,,8,,7,900.0,120,,3.0,2.0,2.0,1.0,1.0,2.0
1,120.0,8,,8,,90,,2.0,2.0,2.0,2.0,1.0,3.0
8,,6,300.0,8,,240,,10.0,1.0,2.0,2.0,2.0,2.0
8,,8,,3,180.0,420,,2.0,1.0,1.0,1.0,2.0,3.0
8,,1,30.0,1,30.0,60,,9.0,2.0,1.0,2.0,2.0,3.0
8,,8,,3,180.0,120,,3.0,2.0,2.0,2.0,1.0,3.0
1,300.0,8,,3,180.0,360,,1.0,2.0,2.0,2.0,1.0,3.0
8,,8,,5,60.0,180,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,7,420.0,120,,2.0,2.0,2.0,1.0,2.0,2.0
8,,8,,5,250.0,210,,9.0,2.0,2.0,1.0,1.0,2.0
8,,8,,5,300.0,600,,10.0,1.0,1.0,1.0,2.0,2.0
8,,8,,7,420.0,300,,2.0,2.0,1.0,1.0,1.0,2.0
8,,2,120.0,8,,180,,6.0,2.0,2.0,2.0,1.0,3.0
3,210.0,8,,3,210.0,240,,9.0,1.0,2.0,2.0,1.0,1.0
8,,8,,8,,300,8.0,,,,,,3.0
8,,8,,3,180.0,300,,6.0,1.0,2.0,1.0,2.0,3.0
8,,8,,8,,420,8.0,,,,,,3.0
1,120.0,8,,8,,60,,1.0,2.0,2.0,1.0,2.0,3.0
8,,3,180.0,6,300.0,210,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,3,180.0,120,,2.0,1.0,1.0,1.0,1.0,3.0
8,,8,,8,,900,5.0,,,,,,3.0
8,,8,,3,240.0,240,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,3,60.0,180,,6.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,9999,1.0,,,,,,3.0
8,,8,,3,180.0,480,,2.0,2.0,2.0,2.0,1.0,3.0
3,360.0,8,,5,300.0,180,,1.0,2.0,1.0,1.0,1.0,1.0
8,,8,,6,2160.0,120,,2.0,2.0,1.0,2.0,2.0,2.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,4,80.0,3,120.0,120,,11.0,2.0,2.0,1.0,2.0,2.0
7,420.0,8,,7,230.0,180,,2.0,2.0,2.0,1.0,1.0,1.0
8,,7,1260.0,7,80.0,90,,2.0,1.0,2.0,1.0,1.0,1.0
8,,8,,8,,600,2.0,,,,,,3.0
8,,8,,7,540.0,240,,6.0,2.0,1.0,1.0,2.0,2.0
8,,2,120.0,8,,120,,2.0,2.0,1.0,2.0,2.0,3.0
8,,8,,8,,180,5.0,,,,,,3.0
8,,8,,8,,300,1.0,,,,,,3.0
2,120.0,8,,7,1260.0,120,,2.0,2.0,1.0,1.0,1.0,1.0
8,,7,420.0,3,180.0,240,,2.0,2.0,2.0,1.0,1.0,2.0
2,150.0,8,,3,240.0,720,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,7,9999.0,300,,2.0,1.0,1.0,1.0,2.0,
8,,8,,7,210.0,240,,6.0,1.0,2.0,1.0,1.0,2.0
8,,8,,1,30.0,600,,2.0,2.0,2.0,2.0,1.0,3.0
8,,1,60.0,7,180.0,300,,2.0,2.0,1.0,2.0,2.0,2.0
5,1500.0,5,1500.0,5,80.0,9999,,1.0,2.0,1.0,1.0,1.0,1.0
8,,8,,6,390.0,720,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,7,9999.0,9999,,6.0,1.0,2.0,1.0,2.0,
3,180.0,3,360.0,7,120.0,240,,2.0,1.0,2.0,2.0,1.0,1.0
8,,8,,8,,240,1.0,,,,,,3.0
8,,8,,6,480.0,180,,1.0,2.0,1.0,2.0,2.0,2.0
8,,8,,8,,240,1.0,,,,,,3.0
8,,5,300.0,1,60.0,240,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,240,1.0,,,,,,3.0
8,,8,,3,180.0,300,,10.0,2.0,2.0,2.0,1.0,3.0
8,,5,360.0,5,150.0,240,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,7,840.0,90,,1.0,2.0,2.0,1.0,2.0,2.0
8,,8,,3,180.0,360,,2.0,2.0,2.0,1.0,1.0,3.0
7,300.0,8,,7,360.0,120,,2.0,1.0,1.0,1.0,2.0,1.0
8,,1,64.0,8,,300,,6.0,2.0,2.0,1.0,1.0,3.0
8,,8,,8,,360,9.0,,,,,,3.0
8,,2,180.0,8,,240,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,9999,1.0,,,,,,3.0
8,,8,,2,120.0,300,,2.0,1.0,2.0,1.0,2.0,3.0
8,,8,,4,150.0,360,,6.0,2.0,2.0,1.0,2.0,3.0
8,,8,,8,,420,5.0,,,,,,3.0
8,,8,,8,,720,5.0,,,,,,3.0
8,,8,,6,360.0,300,,3.0,1.0,2.0,1.0,2.0,2.0
8,,8,,8,,900,1.0,,,,,,3.0
8,,1,120.0,5,60.0,480,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,300.0,120,,2.0,2.0,1.0,1.0,2.0,2.0
8,,8,,2,120.0,9999,,2.0,2.0,1.0,2.0,1.0,3.0
8,,8,,7,210.0,840,,2.0,2.0,1.0,1.0,1.0,2.0
8,,8,,7,2100.0,300,,10.0,1.0,2.0,1.0,2.0,1.0
8,,2,180.0,8,,240,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,300,9.0,,,,,,3.0
8,,8,,3,120.0,240,,6.0,1.0,2.0,1.0,2.0,3.0
8,,8,,7,210.0,420,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,8,,60,4.0,,,,,,3.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,8,,7,315.0,180,,2.0,1.0,2.0,1.0,2.0,2.0
6,840.0,7,840.0,8,,300,,3.0,2.0,1.0,1.0,2.0,1.0
8,,7,840.0,8,,9999,,1.0,1.0,2.0,1.0,1.0,1.0
8,,8,,7,70.0,480,,8.0,1.0,2.0,2.0,1.0,3.0
8,,8,,7,1080.0,600,,2.0,1.0,1.0,1.0,2.0,1.0
8,,2,120.0,2,120.0,240,,2.0,1.0,2.0,1.0,1.0,3.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,2,120.0,8,,480,,6.0,1.0,2.0,2.0,1.0,3.0
1,60.0,8,,7,9999.0,120,,2.0,1.0,2.0,1.0,1.0,
8,,8,,7,140.0,60,,2.0,2.0,2.0,2.0,1.0,3.0
5,480.0,3,300.0,1,180.0,120,,2.0,1.0,1.0,2.0,1.0,1.0
8,,7,210.0,1,180.0,480,,9.0,1.0,2.0,1.0,1.0,2.0
8,,8,,5,300.0,120,,2.0,2.0,1.0,2.0,2.0,2.0
7,70.0,7,70.0,4,250.0,300,,6.0,2.0,2.0,1.0,1.0,2.0
8,,8,,6,60.0,420,,9.0,1.0,2.0,1.0,2.0,3.0
1,120.0,2,120.0,7,180.0,15,,10.0,2.0,1.0,1.0,1.0,2.0
8,,2,180.0,8,,420,,10.0,2.0,1.0,2.0,2.0,3.0
8,,8,,7,350.0,120,,6.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,70.0,300,,6.0,1.0,2.0,2.0,2.0,3.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,5,720.0,8,,180,,2.0,1.0,1.0,2.0,2.0,2.0
2,180.0,8,,8,,360,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,2,60.0,180,,6.0,1.0,2.0,1.0,1.0,3.0
8,,2,40.0,8,,120,,2.0,2.0,2.0,1.0,2.0,3.0
8,,8,,4,120.0,120,,2.0,1.0,2.0,1.0,1.0,3.0
8,,8,,6,180.0,240,,9.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,9999,2.0,,,,,,3.0
3,360.0,8,,4,240.0,240,,1.0,2.0,2.0,1.0,1.0,1.0
7,140.0,7,210.0,8,,720,,6.0,2.0,1.0,2.0,2.0,2.0
5,300.0,7,840.0,7,420.0,60,,1.0,1.0,1.0,1.0,1.0,1.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,5,480.0,300,,2.0,2.0,1.0,2.0,2.0,2.0
8,,1,180.0,7,100.0,240,,5.0,1.0,2.0,1.0,2.0,2.0
8,,2,120.0,5,300.0,300,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,2,120.0,120,,6.0,2.0,2.0,2.0,1.0,3.0
3,180.0,8,,3,60.0,360,,10.0,1.0,2.0,1.0,1.0,2.0
8,,8,,7,180.0,480,,6.0,1.0,2.0,2.0,2.0,3.0
8,,8,,3,90.0,120,,10.0,1.0,1.0,1.0,1.0,3.0
3,60.0,2,60.0,8,,360,,2.0,2.0,1.0,1.0,2.0,2.0
8,,8,,8,,60,9.0,,,,,,3.0
8,,8,,8,,720,1.0,,,,,,3.0
8,,8,,3,180.0,9999,,3.0,2.0,2.0,2.0,1.0,3.0
5,600.0,8,,5,300.0,180,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,8,,90,1.0,,,,,,3.0
8,,8,,3,180.0,600,,2.0,2.0,2.0,2.0,1.0,3.0
5,60.0,8,,3,180.0,120,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,60,1.0,,,,,,3.0
8,,8,,8,,420,9.0,,,,,,3.0
8,,2,240.0,2,120.0,240,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,6,360.0,180,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,7,100.0,360,,10.0,2.0,2.0,1.0,2.0,3.0
8,,8,,8,,360,5.0,,,,,,3.0
8,,8,,3,60.0,180,,3.0,2.0,2.0,2.0,2.0,3.0
8,,6,360.0,6,360.0,9999,,10.0,2.0,1.0,2.0,1.0,2.0
8,,8,,8,,120,1.0,,,,,,3.0
3,360.0,8,,8,,240,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,8,,360,5.0,,,,,,3.0
8,,5,600.0,6,900.0,60,,2.0,1.0,1.0,2.0,1.0,1.0
8,,8,,2,60.0,120,,8.0,1.0,2.0,2.0,2.0,3.0
8,,8,,4,100.0,240,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,5,150.0,180,,2.0,2.0,2.0,1.0,2.0,2.0
8,,8,,8,,240,8.0,,,,,,3.0
8,,8,,3,90.0,360,,10.0,2.0,2.0,1.0,1.0,3.0
8,,8,,1,30.0,480,,9.0,1.0,2.0,1.0,2.0,3.0
8,,8,,3,180.0,240,,1.0,2.0,2.0,1.0,1.0,3.0
8,,8,,8,,480,5.0,,,,,,3.0
8,,8,,8,,600,1.0,,,,,,3.0
2,120.0,6,120.0,5,180.0,120,,6.0,1.0,2.0,1.0,1.0,2.0
7,420.0,3,180.0,8,,300,,1.0,2.0,2.0,2.0,1.0,1.0
8,,8,,8,,540,9.0,,,,,,3.0
8,,8,,8,,60,5.0,,,,,,3.0
8,,8,,7,180.0,90,,2.0,1.0,2.0,1.0,2.0,3.0
8,,7,420.0,2,120.0,240,,6.0,1.0,1.0,1.0,2.0,2.0
8,,7,420.0,7,70.0,240,,1.0,1.0,1.0,1.0,1.0,2.0
8,,8,,3,360.0,60,,9.0,2.0,2.0,2.0,1.0,3.0
3,180.0,8,,8,,240,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,5,300.0,240,,2.0,2.0,2.0,1.0,1.0,2.0
8,,3,30.0,5,50.0,180,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,1,120.0,360,,2.0,2.0,2.0,2.0,1.0,3.0
8,,4,350.0,4,50.0,480,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,7,210.0,120,,1.0,1.0,2.0,1.0,2.0,2.0
8,,6,180.0,8,,9999,,9.0,2.0,2.0,1.0,1.0,2.0
8,,5,300.0,8,,9999,,6.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,360,9.0,,,,,,3.0
8,,6,360.0,8,,240,,6.0,1.0,2.0,2.0,1.0,2.0
8,,8,,2,270.0,30,,2.0,2.0,2.0,2.0,1.0,3.0
5,2700.0,4,480.0,3,50.0,90,,2.0,2.0,1.0,1.0,1.0,1.0
8,,8,,7,840.0,210,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,8,,480,5.0,,,,,,3.0
8,,4,480.0,3,300.0,270,,11.0,2.0,1.0,1.0,1.0,2.0
8,,4,480.0,8,,280,,2.0,1.0,1.0,2.0,2.0,3.0
8,,8,,8,,540,1.0,,,,,,3.0
1,120.0,7,420.0,7,180.0,120,,1.0,2.0,2.0,1.0,2.0,1.0
8,,8,,7,420.0,360,,10.0,1.0,1.0,1.0,1.0,2.0
5,300.0,5,300.0,8,,240,,1.0,1.0,2.0,2.0,1.0,1.0
8,,8,,8,,120,5.0,,,,,,3.0
2,80.0,1,90.0,7,420.0,600,,2.0,2.0,2.0,1.0,1.0,2.0
8,,3,80.0,8,,480,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,600,5.0,,,,,,3.0
8,,8,,7,420.0,120,,6.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,840.0,120,,6.0,1.0,2.0,1.0,2.0,2.0
6,1800.0,8,,4,120.0,540,,9.0,2.0,1.0,1.0,2.0,1.0
8,,8,,7,1680.0,330,,8.0,1.0,2.0,2.0,2.0,1.0
4,720.0,8,,8,,300,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,8,,720,5.0,,,,,,3.0
8,,8,,6,382.0,9999,,2.0,2.0,2.0,2.0,1.0,2.0
8,,3,2160.0,5,300.0,120,,2.0,1.0,1.0,1.0,2.0,1.0
1,120.0,5,600.0,8,,600,,1.0,1.0,2.0,1.0,1.0,2.0
1,60.0,8,,8,,300,,10.0,2.0,1.0,1.0,1.0,3.0
8,,8,,4,240.0,360,,8.0,2.0,2.0,2.0,1.0,3.0
8,,4,480.0,8,,240,,6.0,1.0,2.0,2.0,2.0,3.0
8,,1,60.0,3,180.0,120,,1.0,1.0,2.0,1.0,1.0,3.0
8,,8,,7,80.0,180,,2.0,2.0,1.0,1.0,2.0,3.0
8,,8,,5,120.0,9999,,1.0,1.0,1.0,1.0,2.0,3.0
3,180.0,8,,8,,120,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,180,5.0,,,,,,3.0
8,,1,120.0,5,200.0,180,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,7,420.0,600,,2.0,2.0,1.0,1.0,2.0,2.0
3,180.0,8,,8,,480,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,8,,480,5.0,,,,,,3.0
8,,6,480.0,8,,180,,2.0,2.0,1.0,2.0,2.0,2.0
8,,6,1080.0,7,1200.0,180,,10.0,2.0,1.0,1.0,2.0,1.0
8,,2,220.0,1,180.0,180,,1.0,2.0,2.0,2.0,1.0,3.0
8,,2,120.0,5,300.0,120,,1.0,1.0,1.0,1.0,1.0,2.0
8,,3,60.0,8,,120,,2.0,2.0,2.0,2.0,1.0,3.0
4,480.0,8,,2,100.0,480,,2.0,2.0,2.0,2.0,1.0,1.0
8,,2,120.0,5,100.0,420,,2.0,1.0,1.0,2.0,2.0,2.0
3,180.0,8,,2,90.0,270,,2.0,2.0,1.0,1.0,2.0,2.0
8,,3,60.0,3,90.0,9999,,2.0,1.0,2.0,1.0,1.0,3.0
8,,1,120.0,8,,360,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,7,360.0,240,,11.0,2.0,2.0,1.0,2.0,2.0
8,,8,,7,420.0,540,,2.0,2.0,1.0,1.0,2.0,2.0
8,,2,120.0,2,120.0,180,,3.0,2.0,1.0,2.0,1.0,3.0
3,360.0,8,,3,360.0,600,,10.0,2.0,2.0,1.0,1.0,1.0
8,,8,,6,2160.0,480,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,8,,720,2.0,,,,,,3.0
8,,8,,7,1260.0,300,,1.0,1.0,2.0,1.0,1.0,1.0
3,180.0,3,180.0,3,120.0,300,,2.0,1.0,1.0,1.0,1.0,2.0
8,,8,,5,300.0,240,,1.0,2.0,2.0,2.0,1.0,2.0
8,,2,60.0,6,120.0,120,,1.0,1.0,1.0,1.0,2.0,2.0
8,,8,,7,2400.0,180,,2.0,1.0,1.0,1.0,2.0,1.0
8,,8,,6,225.0,120,,6.0,2.0,2.0,2.0,1.0,2.0
8,,8,,6,360.0,240,,6.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,420.0,300,,6.0,1.0,2.0,1.0,2.0,2.0
3,180.0,8,,7,130.0,240,,1.0,1.0,1.0,2.0,1.0,2.0
8,,8,,2,150.0,270,,2.0,1.0,2.0,1.0,2.0,3.0
8,,7,3360.0,8,,240,,1.0,2.0,2.0,2.0,1.0,1.0
8,,8,,8,,600,5.0,,,,,,3.0
2,120.0,8,,2,150.0,480,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,360,8.0,,,,,,3.0
7,630.0,8,,7,120.0,30,,2.0,1.0,1.0,2.0,1.0,1.0
8,,8,,3,60.0,240,,6.0,1.0,2.0,2.0,2.0,3.0
8,,8,,4,270.0,180,,1.0,2.0,2.0,1.0,1.0,3.0
8,,4,420.0,7,840.0,540,,2.0,1.0,1.0,1.0,1.0,1.0
8,,8,,8,,600,1.0,,,,,,3.0
8,,8,,6,240.0,600,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,8,,180,8.0,,,,,,3.0
8,,8,,3,75.0,360,,10.0,1.0,2.0,1.0,2.0,3.0
7,840.0,8,,6,300.0,600,,2.0,1.0,1.0,1.0,1.0,1.0
8,,6,1440.0,6,600.0,210,,1.0,2.0,1.0,1.0,2.0,1.0
3,180.0,3,180.0,3,180.0,120,,2.0,2.0,2.0,2.0,1.0,2.0
8,,5,600.0,5,120.0,300,,9.0,2.0,1.0,1.0,1.0,2.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,8,,180,9.0,,,,,,3.0
8,,8,,3,180.0,360,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,7,420.0,60,,9.0,2.0,2.0,1.0,2.0,2.0
8,,4,120.0,7,360.0,450,,6.0,1.0,1.0,1.0,1.0,2.0
8,,8,,5,120.0,660,,2.0,1.0,1.0,1.0,2.0,3.0
8,,8,,7,70.0,120,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,600,9.0,,,,,,3.0
8,,8,,7,80.0,9999,,6.0,1.0,2.0,1.0,2.0,3.0
8,,8,,7,420.0,480,,2.0,1.0,1.0,2.0,2.0,2.0
4,300.0,8,,5,150.0,450,,1.0,2.0,2.0,1.0,2.0,1.0
3,120.0,3,120.0,8,,480,,1.0,2.0,2.0,2.0,1.0,2.0
8,,2,120.0,2,60.0,180,,6.0,2.0,2.0,1.0,1.0,3.0
8,,8,,8,,240,5.0,,,,,,3.0
8,,2,180.0,8,,420,,1.0,2.0,2.0,2.0,1.0,3.0
8,,8,,5,60.0,480,,10.0,2.0,1.0,1.0,2.0,3.0
3,180.0,2,120.0,7,420.0,240,,10.0,2.0,1.0,2.0,1.0,1.0
1,120.0,8,,8,,960,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,300,8.0,,,,,,3.0
8,,2,9999.0,2,240.0,660,,2.0,2.0,2.0,2.0,1.0,
7,420.0,7,420.0,7,420.0,240,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,3,360.0,360,,2.0,2.0,2.0,1.0,1.0,3.0
2,120.0,8,,1,90.0,180,,10.0,1.0,2.0,1.0,1.0,3.0
8,,8,,8,,120,8.0,,,,,,3.0
8,,6,180.0,6,1080.0,90,,6.0,2.0,1.0,1.0,2.0,1.0
8,,2,240.0,4,480.0,180,,2.0,2.0,2.0,1.0,1.0,2.0
5,300.0,2,120.0,5,300.0,90,,1.0,2.0,1.0,1.0,1.0,1.0
8,,8,,8,,9999,9.0,,,,,,3.0
8,,7,2520.0,7,2520.0,150,,2.0,2.0,1.0,1.0,2.0,1.0
8,,8,,8,,840,5.0,,,,,,3.0
1,45.0,8,,6,240.0,9999,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,1,60.0,120,,10.0,2.0,2.0,2.0,1.0,3.0
3,180.0,8,,4,360.0,120,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,2,180.0,300,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,90,5.0,,,,,,3.0
8,,8,,8,,300,7.0,,,,,,3.0
8,,8,,1,40.0,480,,2.0,2.0,2.0,2.0,1.0,3.0
8,,7,3360.0,8,,9999,,6.0,1.0,2.0,2.0,2.0,1.0
3,180.0,8,,8,,240,,3.0,2.0,2.0,2.0,1.0,2.0
7,1500.0,7,9999.0,7,1440.0,90,,1.0,1.0,2.0,1.0,1.0,
8,,8,,8,,9999,5.0,,,,,,3.0
8,,8,,8,,180,5.0,,,,,,3.0
8,,8,,7,1080.0,300,,2.0,2.0,1.0,1.0,2.0,1.0
8,,8,,8,,120,10.0,,,,,,3.0
8,,8,,8,,9999,10.0,,,,,,3.0
8,,8,,1,120.0,600,,2.0,2.0,2.0,1.0,2.0,3.0
1,120.0,5,180.0,7,9999.0,60,,9.0,2.0,1.0,1.0,2.0,
8,,8,,7,300.0,120,,6.0,2.0,1.0,1.0,1.0,2.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,8,,8,,420,9.0,,,,,,3.0
8,,8,,8,,9999,8.0,,,,,,3.0
6,180.0,8,,8,,180,,6.0,2.0,2.0,1.0,2.0,2.0
8,,8,,6,360.0,240,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,8,,540,1.0,,,,,,3.0
8,,8,,3,180.0,180,,2.0,1.0,2.0,2.0,1.0,3.0
8,,8,,8,,9999,10.0,,,,,,3.0
8,,8,,2,30.0,60,,6.0,1.0,2.0,1.0,1.0,3.0
7,2520.0,8,,5,600.0,120,,3.0,2.0,2.0,1.0,1.0,1.0
8,,8,,8,,240,1.0,,,,,,3.0
3,120.0,8,,8,,120,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,3,480.0,240,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,120,1.0,,,,,,3.0
